file_a,file_b,cochange_count,jaccard
.agent/AGENTS.md,.agent/PLANS.md,2,1.000000
.agent/AGENTS.md,.agent/ci-design.md,2,1.000000
.agent/AGENTS.md,.agent/github-task-matrix.md,2,1.000000
.agent/AGENTS.md,.agent/github-workflow.md,2,1.000000
.agent/AGENTS.md,.agent/milestone-7-planning.md,2,1.000000
.agent/AGENTS.md,.agent/performance-validation.md,2,1.000000
.agent/AGENTS.md,.agent/pr-checklist.md,2,1.000000
.agent/AGENTS.md,docs/TechRequirements.md,2,1.000000
.agent/AGENTS.md,docs/ci-design.md,2,0.666667
.agent/AGENTS.md,docs/github-workflow.md,2,0.333333
.agent/AGENTS.md,docs/milestone-7-planning.md,2,0.666667
.agent/AGENTS.md,docs/performance-validation.md,2,0.666667
.agent/AGENTS.md,docs/pr-checklist.md,2,0.500000
.agent/AGENTS.md,docs/prd.md,2,1.000000
.agent/PLANS.md,.agent/ci-design.md,2,1.000000
.agent/PLANS.md,.agent/github-task-matrix.md,2,1.000000
.agent/PLANS.md,.agent/github-workflow.md,2,1.000000
.agent/PLANS.md,.agent/milestone-7-planning.md,2,1.000000
.agent/PLANS.md,.agent/performance-validation.md,2,1.000000
.agent/PLANS.md,.agent/pr-checklist.md,2,1.000000
.agent/PLANS.md,docs/TechRequirements.md,2,1.000000
.agent/PLANS.md,docs/ci-design.md,2,0.666667
.agent/PLANS.md,docs/github-workflow.md,2,0.333333
.agent/PLANS.md,docs/milestone-7-planning.md,2,0.666667
.agent/PLANS.md,docs/performance-validation.md,2,0.666667
.agent/PLANS.md,docs/pr-checklist.md,2,0.500000
.agent/PLANS.md,docs/prd.md,2,1.000000
.agent/ci-design.md,.agent/github-task-matrix.md,2,1.000000
.agent/ci-design.md,.agent/github-workflow.md,2,1.000000
.agent/ci-design.md,.agent/milestone-7-planning.md,2,1.000000
.agent/ci-design.md,.agent/performance-validation.md,2,1.000000
.agent/ci-design.md,.agent/pr-checklist.md,2,1.000000
.agent/ci-design.md,docs/TechRequirements.md,2,1.000000
.agent/ci-design.md,docs/ci-design.md,2,0.666667
.agent/ci-design.md,docs/github-workflow.md,2,0.333333
.agent/ci-design.md,docs/milestone-7-planning.md,2,0.666667
.agent/ci-design.md,docs/performance-validation.md,2,0.666667
.agent/ci-design.md,docs/pr-checklist.md,2,0.500000
.agent/ci-design.md,docs/prd.md,2,1.000000
.agent/github-task-matrix.md,.agent/github-workflow.md,2,1.000000
.agent/github-task-matrix.md,.agent/milestone-7-planning.md,2,1.000000
.agent/github-task-matrix.md,.agent/performance-validation.md,2,1.000000
.agent/github-task-matrix.md,.agent/pr-checklist.md,2,1.000000
.agent/github-task-matrix.md,docs/TechRequirements.md,2,1.000000
.agent/github-task-matrix.md,docs/ci-design.md,2,0.666667
.agent/github-task-matrix.md,docs/github-workflow.md,2,0.333333
.agent/github-task-matrix.md,docs/milestone-7-planning.md,2,0.666667
.agent/github-task-matrix.md,docs/performance-validation.md,2,0.666667
.agent/github-task-matrix.md,docs/pr-checklist.md,2,0.500000
.agent/github-task-matrix.md,docs/prd.md,2,1.000000
.agent/github-workflow.md,.agent/milestone-7-planning.md,2,1.000000
.agent/github-workflow.md,.agent/performance-validation.md,2,1.000000
.agent/github-workflow.md,.agent/pr-checklist.md,2,1.000000
.agent/github-workflow.md,docs/TechRequirements.md,2,1.000000
.agent/github-workflow.md,docs/ci-design.md,2,0.666667
.agent/github-workflow.md,docs/github-workflow.md,2,0.333333
.agent/github-workflow.md,docs/milestone-7-planning.md,2,0.666667
.agent/github-workflow.md,docs/performance-validation.md,2,0.666667
.agent/github-workflow.md,docs/pr-checklist.md,2,0.500000
.agent/github-workflow.md,docs/prd.md,2,1.000000
.agent/milestone-7-planning.md,.agent/performance-validation.md,2,1.000000
.agent/milestone-7-planning.md,.agent/pr-checklist.md,2,1.000000
.agent/milestone-7-planning.md,docs/TechRequirements.md,2,1.000000
.agent/milestone-7-planning.md,docs/ci-design.md,2,0.666667
.agent/milestone-7-planning.md,docs/github-workflow.md,2,0.333333
.agent/milestone-7-planning.md,docs/milestone-7-planning.md,2,0.666667
.agent/milestone-7-planning.md,docs/performance-validation.md,2,0.666667
.agent/milestone-7-planning.md,docs/pr-checklist.md,2,0.500000
.agent/milestone-7-planning.md,docs/prd.md,2,1.000000
.agent/performance-validation.md,.agent/pr-checklist.md,2,1.000000
.agent/performance-validation.md,docs/TechRequirements.md,2,1.000000
.agent/performance-validation.md,docs/ci-design.md,2,0.666667
.agent/performance-validation.md,docs/github-workflow.md,2,0.333333
.agent/performance-validation.md,docs/milestone-7-planning.md,2,0.666667
.agent/performance-validation.md,docs/performance-validation.md,2,0.666667
.agent/performance-validation.md,docs/pr-checklist.md,2,0.500000
.agent/performance-validation.md,docs/prd.md,2,1.000000
.agent/pr-checklist.md,docs/TechRequirements.md,2,1.000000
.agent/pr-checklist.md,docs/ci-design.md,2,0.666667
.agent/pr-checklist.md,docs/github-workflow.md,2,0.333333
.agent/pr-checklist.md,docs/milestone-7-planning.md,2,0.666667
.agent/pr-checklist.md,docs/performance-validation.md,2,0.666667
.agent/pr-checklist.md,docs/pr-checklist.md,2,0.500000
.agent/pr-checklist.md,docs/prd.md,2,1.000000
app/(auth)/[[...sign-in]]/page.tsx,app/(auth)/[[...sign-up]]/page.tsx,2,1.000000
docs/TechRequirements.md,docs/ci-design.md,2,0.666667
docs/TechRequirements.md,docs/github-workflow.md,2,0.333333
